"Durable Medical Equipment,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*** Non-continental areas ***,,,,
"Prosthetics, Orthotics, and Supplies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Not subject to ceiling and floor),,,,
(DMEPOS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2025 Fee Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCPCS,Mod,Mod2,JURIS,CATG,Ceiling,Floor,AL (NR),AL (R),AR (NR),AR (R),AZ (NR),AZ (R),CA (NR),CA (R),CO (NR),CO (R),CT (NR),CT (R),DC (NR),DC (R),DE (NR),DE (R),FL (NR),FL (R),GA (NR),GA (R),IA (NR),IA (R),ID (NR),ID (R),IL (NR),IL (R),IN (NR),IN (R),KS (NR),KS (R),KY (NR),KY (R),LA (NR),LA (R),MA (NR),MA (R),MD (NR),MD (R),ME (NR),ME (R),MI (NR),MI (R),MN (NR),MN (R),MO (NR),MO (R),MS (NR),MS (R),MT (NR),MT (R),NC (NR),NC (R),ND (NR),ND (R),NE (NR),NE (R),NH (NR),NH (R),NJ (NR),NJ (R),NM (NR),NM (R),NV (NR),NV (R),NY (NR),NY (R),OH (NR),OH (R),OK (NR),OK (R),OR (NR),OR (R),PA (NR),PA (R),RI (NR),RI (R),SC (NR),SC (R),SD (NR),SD (R),TN (NR),TN (R),TX (NR),TX (R),UT (NR),UT (R),VA (NR),VA (R),VT (NR),VT (R),WA (NR),WA (R),WI (NR),WI (R),WV (NR),WV (R),WY (NR),WY (R),AK (NR),AK (R),HI (NR),HI (R),PR (NR),PR (R),VI (NR),VI (R),Description
L6715,,,D,PO,4540.84,3405.63,3832.00,0.00,3831.64,0.00,3719.97,0.00,3719.97,0.00,3860.85,0.00,3719.97,0.00,3719.97,0.00,3719.97,0.00,3832.00,0.00,3832.00,0.00,3792.64,0.00,3719.97,0.00,3811.37,0.00,3811.37,0.00,3792.64,0.00,3832.00,0.00,3831.64,0.00,3719.97,0.00,3719.97,0.00,3719.97,0.00,3811.37,0.00,3811.37,0.00,3792.64,0.00,3832.00,0.00,3860.85,0.00,3832.00,0.00,3860.85,0.00,3792.64,0.00,3719.97,0.00,3719.97,0.00,3831.64,0.00,3719.97,0.00,3719.97,0.00,3811.37,0.00,3831.64,0.00,3719.97,0.00,3719.97,0.00,3719.97,0.00,3832.00,0.00,3860.85,0.00,3832.00,0.00,3831.64,0.00,3860.85,0.00,3719.97,0.00,3719.97,0.00,3719.97,0.00,3811.37,0.00,3719.97,0.00,3860.85,0.00,3719.97,0.00,3719.97,0.00,4091.99,0.00,4091.99,0.00,"Term device, multi art digit"
L6721,,,D,PO,3381.93,2536.45,2854.73,0.00,2854.45,0.00,2771.24,0.00,2771.24,0.00,2870.46,0.00,2771.24,0.00,2771.24,0.00,2771.24,0.00,2854.73,0.00,2854.73,0.00,2825.39,0.00,2771.24,0.00,2839.36,0.00,2839.36,0.00,2825.39,0.00,2854.73,0.00,2854.45,0.00,2771.24,0.00,2771.24,0.00,2771.24,0.00,2839.36,0.00,2839.36,0.00,2825.39,0.00,2854.73,0.00,2870.46,0.00,2854.73,0.00,2870.46,0.00,2825.39,0.00,2771.24,0.00,2771.24,0.00,2854.45,0.00,2771.24,0.00,2771.24,0.00,2839.36,0.00,2854.45,0.00,2771.24,0.00,2771.24,0.00,2771.24,0.00,2854.73,0.00,2870.46,0.00,2854.73,0.00,2854.45,0.00,2870.46,0.00,2771.24,0.00,2771.24,0.00,2771.24,0.00,2839.36,0.00,2771.24,0.00,2870.46,0.00,2771.24,0.00,2771.24,0.00,3048.43,0.00,3048.43,0.00,"Hook/hand, hvy dty, vol open"
L6722,,,D,PO,2915.47,2186.60,2460.97,0.00,2460.73,0.00,2389.03,0.00,2389.03,0.00,2474.58,0.00,2389.03,0.00,2389.03,0.00,2389.03,0.00,2460.97,0.00,2460.97,0.00,2435.71,0.00,2389.03,0.00,2447.69,0.00,2447.69,0.00,2435.71,0.00,2460.97,0.00,2460.73,0.00,2389.03,0.00,2389.03,0.00,2389.03,0.00,2447.69,0.00,2447.69,0.00,2435.71,0.00,2460.97,0.00,2474.58,0.00,2460.97,0.00,2474.58,0.00,2435.71,0.00,2389.03,0.00,2389.03,0.00,2460.73,0.00,2389.03,0.00,2389.03,0.00,2447.69,0.00,2460.73,0.00,2389.03,0.00,2389.03,0.00,2389.03,0.00,2460.97,0.00,2474.58,0.00,2460.97,0.00,2460.73,0.00,2474.58,0.00,2389.03,0.00,2389.03,0.00,2389.03,0.00,2447.69,0.00,2389.03,0.00,2474.58,0.00,2389.03,0.00,2389.03,0.00,2627.94,0.00,2762.32,0.00,"Hook/hand, hvy dty, vol clos"
L6805,,,D,PO,544.49,408.36,408.36,0.00,510.75,0.00,508.23,0.00,508.23,0.00,427.42,0.00,434.01,0.00,432.04,0.00,432.04,0.00,408.36,0.00,408.36,0.00,522.46,0.00,507.65,0.00,463.00,0.00,463.00,0.00,522.46,0.00,408.36,0.00,510.75,0.00,434.01,0.00,432.04,0.00,434.01,0.00,463.00,0.00,463.00,0.00,522.46,0.00,408.36,0.00,427.42,0.00,408.36,0.00,427.42,0.00,522.46,0.00,434.01,0.00,479.35,0.00,510.75,0.00,508.23,0.00,479.35,0.00,463.00,0.00,510.75,0.00,507.65,0.00,432.04,0.00,434.01,0.00,408.36,0.00,427.42,0.00,408.36,0.00,510.75,0.00,427.42,0.00,432.04,0.00,434.01,0.00,507.65,0.00,463.00,0.00,432.04,0.00,427.42,0.00,508.63,0.00,543.84,0.00,290.67,0.00,479.34,0.00,Term dev modifier wrist unit
L6810,,,D,PO,298.51,223.88,231.45,0.00,298.51,0.00,261.25,0.00,261.25,0.00,264.25,0.00,224.11,0.00,235.50,0.00,235.50,0.00,231.45,0.00,231.45,0.00,244.32,0.00,240.22,0.00,246.14,0.00,246.14,0.00,244.32,0.00,231.45,0.00,298.51,0.00,224.11,0.00,235.50,0.00,224.11,0.00,246.14,0.00,246.14,0.00,244.32,0.00,231.45,0.00,264.25,0.00,231.45,0.00,264.25,0.00,244.32,0.00,224.11,0.00,223.88,0.00,298.51,0.00,261.25,0.00,223.88,0.00,246.14,0.00,298.51,0.00,240.22,0.00,235.50,0.00,224.11,0.00,231.45,0.00,264.25,0.00,231.45,0.00,298.51,0.00,264.25,0.00,235.50,0.00,224.11,0.00,240.22,0.00,246.14,0.00,235.50,0.00,264.25,0.00,259.89,0.00,277.91,0.00,233.28,0.00,223.88,0.00,Term dev precision pinch dev
L6880,,,D,PO,34363.97,25772.98,28999.68,0.00,28996.90,0.00,28151.96,0.00,28151.96,0.00,29217.93,0.00,28151.96,0.00,28151.96,0.00,28151.96,0.00,28999.68,0.00,28999.68,0.00,28701.67,0.00,28151.96,0.00,28843.34,0.00,28843.34,0.00,28701.67,0.00,28999.68,0.00,28996.90,0.00,28151.96,0.00,28151.96,0.00,28151.96,0.00,28843.34,0.00,28843.34,0.00,28701.67,0.00,28999.68,0.00,29217.93,0.00,28999.68,0.00,29217.93,0.00,28701.67,0.00,28151.96,0.00,28151.96,0.00,28996.90,0.00,28151.96,0.00,28151.96,0.00,28843.34,0.00,28996.90,0.00,28151.96,0.00,28151.96,0.00,28151.96,0.00,28999.68,0.00,29217.93,0.00,28999.68,0.00,28996.90,0.00,29217.93,0.00,28151.96,0.00,28151.96,0.00,28151.96,0.00,28843.34,0.00,28151.96,0.00,29217.93,0.00,28151.96,0.00,28151.96,0.00,30967.17,0.00,30967.17,0.00,Elec hand ind art digits
L6881,,,D,PO,5878.54,4408.91,4962.09,0.00,4961.67,0.00,4817.09,0.00,4817.09,0.00,4989.46,0.00,4817.09,0.00,4817.09,0.00,4817.09,0.00,4962.09,0.00,4962.09,0.00,4911.12,0.00,4817.09,0.00,4935.41,0.00,4935.41,0.00,4911.12,0.00,4962.09,0.00,4961.67,0.00,4817.09,0.00,4817.09,0.00,4817.09,0.00,4935.41,0.00,4935.41,0.00,4911.12,0.00,4962.09,0.00,4989.46,0.00,4962.09,0.00,4989.46,0.00,4911.12,0.00,4817.09,0.00,4817.09,0.00,4961.67,0.00,4817.09,0.00,4817.09,0.00,4935.41,0.00,4961.67,0.00,4817.09,0.00,4817.09,0.00,4817.09,0.00,4962.09,0.00,4989.46,0.00,4962.09,0.00,4961.67,0.00,4989.46,0.00,4817.09,0.00,4817.09,0.00,4817.09,0.00,4935.41,0.00,4817.09,0.00,4989.46,0.00,4817.09,0.00,4817.09,0.00,5298.76,0.00,5298.76,0.00,Term dev auto grasp feature
L6882,,,D,PO,4459.18,3344.38,3764.05,0.00,3763.68,0.00,3653.99,0.00,3653.99,0.00,3784.81,0.00,3653.99,0.00,3653.99,0.00,3653.99,0.00,3764.05,0.00,3764.05,0.00,3725.32,0.00,3653.99,0.00,3743.74,0.00,3743.74,0.00,3725.32,0.00,3764.05,0.00,3763.68,0.00,3653.99,0.00,3653.99,0.00,3653.99,0.00,3743.74,0.00,3743.74,0.00,3725.32,0.00,3764.05,0.00,3784.81,0.00,3764.05,0.00,3784.81,0.00,3725.32,0.00,3653.99,0.00,3653.99,0.00,3763.68,0.00,3653.99,0.00,3653.99,0.00,3743.74,0.00,3763.68,0.00,3653.99,0.00,3653.99,0.00,3653.99,0.00,3764.05,0.00,3784.81,0.00,3764.05,0.00,3763.68,0.00,3784.81,0.00,3653.99,0.00,3653.99,0.00,3653.99,0.00,3743.74,0.00,3653.99,0.00,3784.81,0.00,3653.99,0.00,3653.99,0.00,4019.42,0.00,4019.42,0.00,Microprocessor control uplmb
L6883,,,D,PO,2539.52,1904.64,1904.64,0.00,2239.60,0.00,2063.23,0.00,2063.23,0.00,2057.04,0.00,1904.64,0.00,1904.64,0.00,1904.64,0.00,1904.64,0.00,1904.64,0.00,2483.08,0.00,2459.58,0.00,2398.11,0.00,2398.11,0.00,2483.08,0.00,1904.64,0.00,2239.60,0.00,1904.64,0.00,1904.64,0.00,1904.64,0.00,2398.11,0.00,2398.11,0.00,2483.08,0.00,1904.64,0.00,2057.04,0.00,1904.64,0.00,2057.04,0.00,2483.08,0.00,1904.64,0.00,2539.52,0.00,2239.60,0.00,2063.23,0.00,2539.52,0.00,2398.11,0.00,2239.60,0.00,2459.58,0.00,1904.64,0.00,1904.64,0.00,1904.64,0.00,2057.04,0.00,1904.64,0.00,2239.60,0.00,2057.04,0.00,1904.64,0.00,1904.64,0.00,2459.58,0.00,2398.11,0.00,1904.64,0.00,2057.04,0.00,2049.22,0.00,2186.21,0.00,1312.05,0.00,1904.64,0.00,Replc sockt below e/w disa
L6884,,,D,PO,3572.74,2679.56,2826.90,0.00,3361.23,0.00,3572.74,0.00,3572.74,0.00,2679.56,0.00,2702.68,0.00,2679.56,0.00,2679.56,0.00,2826.90,0.00,2826.90,0.00,3193.83,0.00,3361.01,0.00,3281.15,0.00,3281.15,0.00,3193.83,0.00,2826.90,0.00,3361.23,0.00,2702.68,0.00,2679.56,0.00,2702.68,0.00,3281.15,0.00,3281.15,0.00,3193.83,0.00,2826.90,0.00,2679.56,0.00,2826.90,0.00,2679.56,0.00,3193.83,0.00,2702.68,0.00,2792.73,0.00,3361.23,0.00,3572.74,0.00,2792.73,0.00,3281.15,0.00,3361.23,0.00,3361.01,0.00,2679.56,0.00,2702.68,0.00,2826.90,0.00,2679.56,0.00,2826.90,0.00,3361.23,0.00,2679.56,0.00,2679.56,0.00,2702.68,0.00,3361.01,0.00,3281.15,0.00,2679.56,0.00,2679.56,0.00,4241.66,0.00,4577.46,0.00,1401.01,0.00,2679.56,0.00,Replc sockt above elbow disa
L6885,,,D,PO,5097.31,3822.98,4228.03,0.00,3822.98,0.00,5097.31,0.00,5097.31,0.00,3822.98,0.00,3822.98,0.00,3859.48,0.00,3859.48,0.00,4228.03,0.00,4228.03,0.00,3856.27,0.00,5097.31,0.00,5097.31,0.00,5097.31,0.00,3856.27,0.00,4228.03,0.00,3822.98,0.00,3822.98,0.00,3859.48,0.00,3822.98,0.00,5097.31,0.00,5097.31,0.00,3856.27,0.00,4228.03,0.00,3822.98,0.00,4228.03,0.00,3822.98,0.00,3856.27,0.00,3822.98,0.00,3822.98,0.00,3822.98,0.00,5097.31,0.00,3822.98,0.00,5097.31,0.00,3822.98,0.00,5097.31,0.00,3859.48,0.00,3822.98,0.00,4228.03,0.00,3822.98,0.00,4228.03,0.00,3822.98,0.00,3822.98,0.00,3859.48,0.00,3822.98,0.00,5097.31,0.00,5097.31,0.00,3859.48,0.00,3822.98,0.00,6841.85,0.00,7316.03,0.00,1503.66,0.00,3822.98,0.00,Replc sockt shldr dis/interc
L6890,,,D,PO,272.19,204.15,204.15,0.00,221.28,0.00,272.19,0.00,272.19,0.00,218.13,0.00,225.75,0.00,204.15,0.00,204.15,0.00,204.15,0.00,204.15,0.00,272.19,0.00,222.87,0.00,241.11,0.00,241.11,0.00,272.19,0.00,204.15,0.00,221.28,0.00,225.75,0.00,204.15,0.00,225.75,0.00,241.11,0.00,241.11,0.00,272.19,0.00,204.15,0.00,218.13,0.00,204.15,0.00,218.13,0.00,272.19,0.00,225.75,0.00,272.19,0.00,221.28,0.00,272.19,0.00,272.19,0.00,241.11,0.00,221.28,0.00,222.87,0.00,204.15,0.00,225.75,0.00,204.15,0.00,218.13,0.00,204.15,0.00,221.28,0.00,218.13,0.00,204.15,0.00,225.75,0.00,222.87,0.00,241.11,0.00,204.15,0.00,218.13,0.00,270.59,0.00,289.31,0.00,839.80,0.00,272.19,0.00,Prefab glove for term device
L6895,,,D,PO,893.60,670.20,751.00,0.00,670.20,0.00,670.20,0.00,670.20,0.00,684.99,0.00,893.60,0.00,743.02,0.00,743.02,0.00,751.00,0.00,751.00,0.00,767.64,0.00,744.13,0.00,806.21,0.00,806.21,0.00,767.64,0.00,751.00,0.00,670.20,0.00,893.60,0.00,743.02,0.00,893.60,0.00,806.21,0.00,806.21,0.00,767.64,0.00,751.00,0.00,684.99,0.00,751.00,0.00,684.99,0.00,767.64,0.00,893.60,0.00,670.20,0.00,670.20,0.00,670.20,0.00,670.20,0.00,806.21,0.00,670.20,0.00,744.13,0.00,743.02,0.00,893.60,0.00,751.00,0.00,684.99,0.00,751.00,0.00,670.20,0.00,684.99,0.00,743.02,0.00,893.60,0.00,744.13,0.00,806.21,0.00,743.02,0.00,684.99,0.00,638.60,0.00,682.83,0.00,320.80,0.00,670.20,0.00,Custom glove for term device
L6900,,,D,PO,2417.23,1812.92,2143.16,0.00,1855.75,0.00,2407.82,0.00,2407.82,0.00,1812.92,0.00,1812.92,0.00,1928.36,0.00,1928.36,0.00,2143.16,0.00,2143.16,0.00,2371.18,0.00,2330.54,0.00,2341.16,0.00,2341.16,0.00,2371.18,0.00,2143.16,0.00,1855.75,0.00,1812.92,0.00,1928.36,0.00,1812.92,0.00,2341.16,0.00,2341.16,0.00,2371.18,0.00,2143.16,0.00,1812.92,0.00,2143.16,0.00,1812.92,0.00,2371.18,0.00,1812.92,0.00,2130.39,0.00,1855.75,0.00,2407.82,0.00,2130.39,0.00,2341.16,0.00,1855.75,0.00,2330.54,0.00,1928.36,0.00,1812.92,0.00,2143.16,0.00,1812.92,0.00,2143.16,0.00,1855.75,0.00,1812.92,0.00,1928.36,0.00,1812.92,0.00,2330.54,0.00,2341.16,0.00,1928.36,0.00,1812.92,0.00,2458.10,0.00,2628.50,0.00,2130.33,0.00,2130.39,0.00,Hand restorat thumb/1 finger
L6905,,,D,PO,2349.61,1762.21,2130.98,0.00,1762.21,0.00,2349.61,0.00,2349.61,0.00,1762.21,0.00,1762.21,0.00,1893.11,0.00,1893.11,0.00,2130.98,0.00,2130.98,0.00,1883.03,0.00,2349.61,0.00,2317.09,0.00,2317.09,0.00,1883.03,0.00,2130.98,0.00,1762.21,0.00,1762.21,0.00,1893.11,0.00,1762.21,0.00,2317.09,0.00,2317.09,0.00,1883.03,0.00,2130.98,0.00,1762.21,0.00,2130.98,0.00,1762.21,0.00,1883.03,0.00,1762.21,0.00,2104.99,0.00,1762.21,0.00,2349.61,0.00,2104.99,0.00,2317.09,0.00,1762.21,0.00,2349.61,0.00,1893.11,0.00,1762.21,0.00,2130.98,0.00,1762.21,0.00,2130.98,0.00,1762.21,0.00,1762.21,0.00,1893.11,0.00,1762.21,0.00,2349.61,0.00,2317.09,0.00,1893.11,0.00,1762.21,0.00,2641.41,0.00,2824.49,0.00,2104.91,0.00,2104.98,0.00,Hand restoration multiple fi
L6910,,,D,PO,2289.00,1716.75,1822.20,0.00,1736.52,0.00,2289.00,0.00,2289.00,0.00,1716.75,0.00,1716.75,0.00,1943.40,0.00,1943.40,0.00,1822.20,0.00,1822.20,0.00,2289.00,0.00,1928.42,0.00,2277.86,0.00,2277.86,0.00,2289.00,0.00,1822.20,0.00,1736.52,0.00,1716.75,0.00,1943.40,0.00,1716.75,0.00,2277.86,0.00,2277.86,0.00,2289.00,0.00,1822.20,0.00,1716.75,0.00,1822.20,0.00,1716.75,0.00,2289.00,0.00,1716.75,0.00,2188.67,0.00,1736.52,0.00,2289.00,0.00,2188.67,0.00,2277.86,0.00,1736.52,0.00,1928.42,0.00,1943.40,0.00,1716.75,0.00,1822.20,0.00,1716.75,0.00,1822.20,0.00,1736.52,0.00,1716.75,0.00,1943.40,0.00,1716.75,0.00,1928.42,0.00,2277.86,0.00,1943.40,0.00,1716.75,0.00,2356.60,0.00,2519.98,0.00,3918.76,0.00,2188.67,0.00,Hand restoration no fingers
L6915,,,D,PO,1001.84,751.38,918.73,0.00,751.38,0.00,969.07,0.00,969.07,0.00,751.38,0.00,806.66,0.00,751.38,0.00,751.38,0.00,918.73,0.00,918.73,0.00,993.96,0.00,871.52,0.00,978.71,0.00,978.71,0.00,993.96,0.00,918.73,0.00,751.38,0.00,806.66,0.00,751.38,0.00,806.66,0.00,978.71,0.00,978.71,0.00,993.96,0.00,918.73,0.00,751.38,0.00,918.73,0.00,751.38,0.00,993.96,0.00,806.66,0.00,751.38,0.00,751.38,0.00,969.07,0.00,751.38,0.00,978.71,0.00,751.38,0.00,871.52,0.00,751.38,0.00,806.66,0.00,918.73,0.00,751.38,0.00,918.73,0.00,751.38,0.00,751.38,0.00,751.38,0.00,806.66,0.00,871.52,0.00,978.71,0.00,751.38,0.00,751.38,0.00,1001.94,0.00,1071.33,0.00,1026.40,0.00,751.38,0.00,Hand restoration replacmnt g
L6920,,,D,PO,10680.11,8010.09,8010.09,0.00,8795.48,0.00,8948.58,0.00,8948.58,0.00,9736.85,0.00,9154.22,0.00,9251.75,0.00,9251.75,0.00,8010.09,0.00,8010.09,0.00,9011.83,0.00,9339.51,0.00,10112.75,0.00,10112.75,0.00,9011.83,0.00,8010.09,0.00,8795.48,0.00,9154.22,0.00,9251.75,0.00,9154.22,0.00,10112.75,0.00,10112.75,0.00,9011.83,0.00,8010.09,0.00,9736.85,0.00,8010.09,0.00,9736.85,0.00,9011.83,0.00,9154.22,0.00,8010.09,0.00,8795.48,0.00,8948.58,0.00,8010.09,0.00,10112.75,0.00,8795.48,0.00,9339.51,0.00,9251.75,0.00,9154.22,0.00,8010.09,0.00,9736.85,0.00,8010.09,0.00,8795.48,0.00,9736.85,0.00,9251.75,0.00,9154.22,0.00,9339.51,0.00,10112.75,0.00,9251.75,0.00,9736.85,0.00,9049.82,0.00,9677.00,0.00,10264.18,0.00,8010.09,0.00,Wrist disarticul switch ctrl
L6925,,,D,PO,12330.05,9247.54,10782.97,0.00,9287.27,0.00,10212.86,0.00,10212.86,0.00,10501.57,0.00,10642.84,0.00,10142.60,0.00,10142.60,0.00,10782.97,0.00,10782.97,0.00,9914.38,0.00,10214.07,0.00,10803.79,0.00,10803.79,0.00,9914.38,0.00,10782.97,0.00,9287.27,0.00,10642.84,0.00,10142.60,0.00,10642.84,0.00,10803.79,0.00,10803.79,0.00,9914.38,0.00,10782.97,0.00,10501.57,0.00,10782.97,0.00,10501.57,0.00,9914.38,0.00,10642.84,0.00,9247.54,0.00,9287.27,0.00,10212.86,0.00,9247.54,0.00,10803.79,0.00,9287.27,0.00,10214.07,0.00,10142.60,0.00,10642.84,0.00,10782.97,0.00,10501.57,0.00,10782.97,0.00,9287.27,0.00,10501.57,0.00,10142.60,0.00,10642.84,0.00,10214.07,0.00,10803.79,0.00,10142.60,0.00,10501.57,0.00,10314.71,0.00,11029.60,0.00,8646.73,0.00,9247.54,0.00,Wrist disart myoelectronic c
L6930,,,D,PO,10746.35,8059.76,8059.76,0.00,9442.96,0.00,8328.86,0.00,8328.86,0.00,10230.50,0.00,8925.29,0.00,8752.37,0.00,8752.37,0.00,8059.76,0.00,8059.76,0.00,8940.25,0.00,10133.22,0.00,9740.00,0.00,9740.00,0.00,8940.25,0.00,8059.76,0.00,9442.96,0.00,8925.29,0.00,8752.37,0.00,8925.29,0.00,9740.00,0.00,9740.00,0.00,8940.25,0.00,8059.76,0.00,10230.50,0.00,8059.76,0.00,10230.50,0.00,8940.25,0.00,8925.29,0.00,8059.76,0.00,9442.96,0.00,8328.86,0.00,8059.76,0.00,9740.00,0.00,9442.96,0.00,10133.22,0.00,8752.37,0.00,8925.29,0.00,8059.76,0.00,10230.50,0.00,8059.76,0.00,9442.96,0.00,10230.50,0.00,8752.37,0.00,8925.29,0.00,10133.22,0.00,9740.00,0.00,8752.37,0.00,10230.50,0.00,8375.31,0.00,8955.76,0.00,6662.20,0.00,8059.76,0.00,Below elbow switch control
L6935,,,D,PO,12560.87,9420.65,10950.30,0.00,10387.18,0.00,9673.45,0.00,9673.45,0.00,10983.70,0.00,10390.99,0.00,10356.91,0.00,10356.91,0.00,10950.30,0.00,10950.30,0.00,10109.19,0.00,10709.42,0.00,10753.02,0.00,10753.02,0.00,10109.19,0.00,10950.30,0.00,10387.18,0.00,10390.99,0.00,10356.91,0.00,10390.99,0.00,10753.02,0.00,10753.02,0.00,10109.19,0.00,10950.30,0.00,10983.70,0.00,10950.30,0.00,10983.70,0.00,10109.19,0.00,10390.99,0.00,9420.65,0.00,10387.18,0.00,9673.45,0.00,9420.65,0.00,10753.02,0.00,10387.18,0.00,10709.42,0.00,10356.91,0.00,10390.99,0.00,10950.30,0.00,10983.70,0.00,10950.30,0.00,10387.18,0.00,10983.70,0.00,10356.91,0.00,10390.99,0.00,10709.42,0.00,10753.02,0.00,10356.91,0.00,10983.70,0.00,9699.34,0.00,10371.58,0.00,8435.30,0.00,9420.65,0.00,Below elbow myoelectronic ct
L6940,,,D,PO,14040.80,10530.60,10530.60,0.00,11801.69,0.00,10541.85,0.00,10541.85,0.00,14040.80,0.00,11391.90,0.00,11410.31,0.00,11410.31,0.00,10530.60,0.00,10530.60,0.00,10555.97,0.00,12132.38,0.00,12577.53,0.00,12577.53,0.00,10555.97,0.00,10530.60,0.00,11801.69,0.00,11391.90,0.00,11410.31,0.00,11391.90,0.00,12577.53,0.00,12577.53,0.00,10555.97,0.00,10530.60,0.00,14040.80,0.00,10530.60,0.00,14040.80,0.00,10555.97,0.00,11391.90,0.00,11164.01,0.00,11801.69,0.00,10541.85,0.00,11164.01,0.00,12577.53,0.00,11801.69,0.00,12132.38,0.00,11410.31,0.00,11391.90,0.00,10530.60,0.00,14040.80,0.00,10530.60,0.00,11801.69,0.00,14040.80,0.00,11410.31,0.00,11391.90,0.00,12132.38,0.00,12577.53,0.00,11410.31,0.00,14040.80,0.00,10637.13,0.00,11374.33,0.00,13250.12,0.00,11164.01,0.00,Elbow disarticulation switch
L6945,,,D,PO,16334.84,12251.13,12867.13,0.00,13350.47,0.00,12251.13,0.00,12251.13,0.00,16334.84,0.00,12966.63,0.00,12762.21,0.00,12762.21,0.00,12867.13,0.00,12867.13,0.00,12251.13,0.00,13442.59,0.00,14031.86,0.00,14031.86,0.00,12251.13,0.00,12867.13,0.00,13350.47,0.00,12966.63,0.00,12762.21,0.00,12966.63,0.00,14031.86,0.00,14031.86,0.00,12251.13,0.00,12867.13,0.00,16334.84,0.00,12867.13,0.00,16334.84,0.00,12251.13,0.00,12966.63,0.00,12516.70,0.00,13350.47,0.00,12251.13,0.00,12516.70,0.00,14031.86,0.00,13350.47,0.00,13442.59,0.00,12762.21,0.00,12966.63,0.00,12867.13,0.00,16334.84,0.00,12867.13,0.00,13350.47,0.00,16334.84,0.00,12762.21,0.00,12966.63,0.00,13442.59,0.00,14031.86,0.00,12762.21,0.00,16334.84,0.00,12242.51,0.00,13091.03,0.00,17262.57,0.00,12516.70,0.00,Elbow disart myoelectronic c
L6950,,,D,PO,15959.35,11969.51,11969.51,0.00,12547.46,0.00,11969.51,0.00,11969.51,0.00,15959.35,0.00,11977.47,0.00,12092.50,0.00,12092.50,0.00,11969.51,0.00,11969.51,0.00,11969.51,0.00,12671.88,0.00,12554.20,0.00,12554.20,0.00,11969.51,0.00,11969.51,0.00,12547.46,0.00,11977.47,0.00,12092.50,0.00,11977.47,0.00,12554.20,0.00,12554.20,0.00,11969.51,0.00,11969.51,0.00,15959.35,0.00,11969.51,0.00,15959.35,0.00,11969.51,0.00,11977.47,0.00,11969.51,0.00,12547.46,0.00,11969.51,0.00,11969.51,0.00,12554.20,0.00,12547.46,0.00,12671.88,0.00,12092.50,0.00,11977.47,0.00,11969.51,0.00,15959.35,0.00,11969.51,0.00,12547.46,0.00,15959.35,0.00,12092.50,0.00,11977.47,0.00,12671.88,0.00,12554.20,0.00,12092.50,0.00,15959.35,0.00,11859.03,0.00,12680.94,0.00,17262.57,0.00,11969.51,0.00,Above elbow switch control
L6955,,,D,PO,19113.49,14335.11,14335.11,0.00,15745.30,0.00,14335.11,0.00,14335.11,0.00,19113.49,0.00,14500.89,0.00,14706.82,0.00,14706.82,0.00,14335.11,0.00,14335.11,0.00,14335.11,0.00,14335.11,0.00,14558.92,0.00,14558.92,0.00,14335.11,0.00,14335.11,0.00,15745.30,0.00,14500.89,0.00,14706.82,0.00,14500.89,0.00,14558.92,0.00,14558.92,0.00,14335.11,0.00,14335.11,0.00,19113.49,0.00,14335.11,0.00,19113.49,0.00,14335.11,0.00,14500.89,0.00,14335.11,0.00,15745.30,0.00,14335.11,0.00,14335.11,0.00,14558.92,0.00,15745.30,0.00,14335.11,0.00,14706.82,0.00,14500.89,0.00,14335.11,0.00,19113.49,0.00,14335.11,0.00,15745.30,0.00,19113.49,0.00,14706.82,0.00,14500.89,0.00,14335.11,0.00,14558.92,0.00,14706.82,0.00,19113.49,0.00,14171.23,0.00,15153.39,0.00,17824.42,0.00,14335.11,0.00,Above elbow myoelectronic ct
